customerID,gender,SeniorCitizen,tenure,TenureGroup,Contract,InternetService,MonthlyCharges,TotalCharges,AvgMonthlySpend,Churn,ChurnFlag
7590-VHVEG,Female,0,1,0-1 yr,Month-to-month,DSL,29.85,29.85,14.925,No,0
5575-GNVDE,Male,0,34,2-4 yrs,One year,DSL,56.95,1889.5,53.98571428571429,No,0
3668-QPYBK,Male,0,2,0-1 yr,Month-to-month,DSL,53.85,108.15,36.050000000000004,Yes,1
7795-CFOCW,Male,0,45,2-4 yrs,One year,DSL,42.3,1840.75,40.016304347826086,No,0
9237-HQITU,Female,0,2,0-1 yr,Month-to-month,Fiber optic,70.7,151.65,50.550000000000004,Yes,1
9305-CDSKC,Female,0,8,0-1 yr,Month-to-month,Fiber optic,99.65,820.5,91.16666666666667,Yes,1
1452-KIOVK,Male,0,22,1-2 yrs,Month-to-month,Fiber optic,89.1,1949.4,84.75652173913043,No,0
6713-OKOMC,Female,0,10,0-1 yr,Month-to-month,DSL,29.75,301.9,27.44545454545454,No,0
7892-POOKP,Female,0,28,2-4 yrs,Month-to-month,Fiber optic,104.8,3046.05,105.03620689655173,Yes,1
6388-TABGU,Male,0,62,4-6 yrs,One year,DSL,56.15,3487.95,55.364285714285714,No,0
9763-GRSKD,Male,0,13,1-2 yrs,Month-to-month,DSL,49.95,587.45,41.96071428571429,No,0
7469-LKBCI,Male,0,16,1-2 yrs,Two year,No,18.95,326.8,19.223529411764705,No,0
8091-TTVAX,Male,0,58,4-6 yrs,One year,Fiber optic,100.35,5681.1,96.28983050847458,No,0
0280-XJGEX,Male,0,49,4-6 yrs,Month-to-month,Fiber optic,103.7,5036.3,100.726,Yes,1
5129-JLPIS,Male,0,25,2-4 yrs,Month-to-month,Fiber optic,105.5,2686.05,103.3096153846154,No,0
3655-SNQYZ,Female,0,69,4-6 yrs,Two year,Fiber optic,113.25,7895.15,112.78785714285713,No,0
8191-XWSZG,Female,0,52,4-6 yrs,One year,No,20.65,1022.95,19.300943396226415,No,0
9959-WOFKT,Male,0,71,4-6 yrs,Two year,Fiber optic,106.7,7382.25,102.53125,No,0
4190-MFLUW,Female,0,10,0-1 yr,Month-to-month,DSL,55.2,528.35,48.03181818181818,Yes,1
4183-MYFRB,Female,0,21,1-2 yrs,Month-to-month,Fiber optic,90.05,1862.9,84.67727272727274,No,0
8779-QRDMV,Male,1,1,0-1 yr,Month-to-month,DSL,39.65,39.65,19.825,Yes,1
